Date,Commodity,Price_Rs_kg,Rainfall_mm,Export_Demand_Index,USD_INR_Rate,Is_Harvest_Season
2025-05-21,Cardamom,2725.15,3.19,92.36,83.65,0
2025-05-22,Cardamom,2734.19,2.92,93.78,83.63,0
2025-05-23,Cardamom,2743.49,2.53,96.9,83.64,0
2025-05-24,Cardamom,2762.01,2.15,100.0,83.65,0
2025-05-25,Cardamom,2768.65,2.91,100.0,83.61,0
2025-05-26,Cardamom,2770.62,1.28,100.0,83.65,0
2025-05-27,Cardamom,2776.13,3.52,100.0,83.62,0
2025-05-28,Cardamom,2794.89,3.39,100.0,83.65,0
2025-05-29,Cardamom,2796.89,4.5,100.0,83.65,0
2025-05-30,Cardamom,2809.17,3.38,100.0,83.68,0
2025-05-31,Cardamom,2821.11,0.85,100.0,83.66,0
2025-06-01,Cardamom,,14.27,98.85,83.71,0
2025-06-02,Cardamom,2835.81,15.33,97.62,83.76,0
2025-06-03,Cardamom,2845.99,22.88,96.82,83.78,0
2025-06-04,Cardamom,2850.72,22.79,100.0,83.73,0
2025-06-05,Cardamom,2866.82,45.97,100.0,83.73,0
2025-06-06,Cardamom,2884.99,30.7,97.27,83.75,0
2025-06-07,Cardamom,2886.1,18.42,97.13,83.74,0
2025-06-08,Cardamom,2887.05,38.02,99.33,83.78,0
2025-06-09,Cardamom,2886.85,15.73,95.85,83.81,0
2025-06-10,Cardamom,2900.66,31.67,100.0,83.81,0
2025-06-11,Cardamom,2904.84,12.11,100.0,83.83,0
2025-06-12,Cardamom,2906.75,20.06,100.0,83.8,0
2025-06-13,Cardamom,2919.16,11.33,95.48,83.8,0
2025-06-14,Cardamom,2920.14,19.17,92.73,83.75,0
2025-06-15,Cardamom,2918.02,18.66,92.56,83.79,0
2025-06-16,Cardamom,2917.39,27.39,95.83,83.77,0
2025-06-17,Cardamom,2927.02,48.47,98.35,83.77,0
2025-06-18,Cardamom,2933.32,37.89,94.52,83.73,0
2025-06-19,Cardamom,2948.98,45.99,94.57,83.76,0
2025-06-20,Cardamom,2959.61,32.93,90.39,83.76,0
2025-06-21,Cardamom,2969.27,25.36,88.63,83.78,0
2025-06-22,Cardamom,,18.6,88.35,83.8,0
2025-06-23,Cardamom,2975.39,24.44,88.74,83.76,0
2025-06-24,Cardamom,2991.19,14.84,88.72,83.81,0
2025-06-25,Cardamom,2990.58,46.15,90.36,83.85,0
2025-06-26,Cardamom,3005.97,12.96,86.75,83.86,0
2025-06-27,Cardamom,3003.33,38.06,91.27,83.87,0
2025-06-28,Cardamom,3016.75,40.11,89.59,83.88,0
2025-06-29,Cardamom,3030.38,10.09,85.25,83.85,0
2025-06-30,Cardamom,3038.36,26.75,88.61,83.85,0
2025-07-01,Cardamom,3043.86,10.55,93.24,83.82,0
2025-07-02,Cardamom,3052.31,16.53,91.55,83.8,0
2025-07-03,Cardamom,3064.32,15.59,86.78,83.78,0
2025-07-04,Cardamom,3064.57,27.73,81.81,83.81,0
2025-07-05,Cardamom,3066.14,42.89,77.61,83.83,0
2025-07-06,Cardamom,3064.58,32.47,73.16,83.86,0
2025-07-07,Cardamom,3056.32,16.16,73.47,83.89,0
2025-07-08,Cardamom,3052.08,42.8,72.69,83.87,0
2025-07-09,Cardamom,3048.51,16.08,77.61,83.85,0
2025-07-10,Cardamom,3055.79,48.62,77.0,83.89,0
2025-07-11,Cardamom,3054.96,36.41,79.01,83.85,0
2025-07-12,Cardamom,3062.51,15.32,75.19,83.88,0
2025-07-13,Cardamom,,39.9,79.49,83.93,0
2025-07-14,Cardamom,3087.1,28.02,84.3,83.94,0
2025-07-15,Cardamom,3092.18,13.13,80.07,83.93,0
2025-07-16,Cardamom,3096.2,45.17,84.48,83.95,0
2025-07-17,Cardamom,3106.3,33.29,88.98,83.95,0
2025-07-18,Cardamom,3120.71,42.95,86.46,83.99,0
2025-07-19,Cardamom,3128.75,18.8,89.07,83.97,0
2025-07-20,Cardamom,3141.97,31.78,86.79,84.0,0
2025-07-21,Cardamom,3153.82,20.04,89.26,84.05,0
2025-07-22,Cardamom,3156.46,42.21,84.74,84.0,0
2025-07-23,Cardamom,3168.06,34.42,80.77,83.95,0
2025-07-24,Cardamom,3166.02,17.39,82.69,83.95,0
2025-07-25,Cardamom,3175.33,37.89,85.77,83.99,0
2025-07-26,Cardamom,3175.56,42.64,85.57,83.95,0
2025-07-27,Cardamom,3182.5,42.02,84.41,83.96,0
2025-07-28,Cardamom,3196.23,21.0,86.36,84.0,0
2025-07-29,Cardamom,3195.22,45.06,90.34,84.0,0
2025-07-30,Cardamom,3203.94,37.84,95.29,83.96,0
2025-07-31,Cardamom,3202.32,12.11,95.49,83.94,0
2025-08-01,Cardamom,3201.1,43.38,92.24,83.9,1
2025-08-02,Cardamom,3202.76,46.59,94.47,83.88,1
2025-08-03,Cardamom,,43.15,93.42,83.91,1
2025-08-04,Cardamom,3207.21,32.17,95.69,83.96,1
2025-08-05,Cardamom,3200.3,30.44,100.0,83.94,1
2025-08-06,Cardamom,3196.52,24.83,95.52,83.96,1
2025-08-07,Cardamom,3206.06,48.0,97.06,83.98,1
2025-08-08,Cardamom,3203.82,39.7,100.0,83.94,1
2025-08-09,Cardamom,3198.51,11.41,96.0,83.94,1
2025-08-10,Cardamom,,42.34,91.36,83.94,1
2025-08-11,Cardamom,3194.02,26.53,91.28,83.95,1
2025-08-12,Cardamom,3200.24,46.55,91.37,83.97,1
2025-08-13,Cardamom,3194.7,26.63,86.5,83.95,1
2025-08-14,Cardamom,3183.3,30.1,83.78,83.91,1
2025-08-15,Cardamom,3178.25,19.13,86.99,83.92,1
2025-08-16,Cardamom,3180.61,45.09,85.74,83.91,1
2025-08-17,Cardamom,3170.19,18.22,85.3,83.95,1
2025-08-18,Cardamom,3165.73,36.76,88.76,83.97,1
2025-08-19,Cardamom,3158.98,46.69,91.63,83.97,1
2025-08-20,Cardamom,3156.42,24.87,90.14,83.99,1
2025-08-21,Cardamom,3159.6,18.34,87.13,84.02,1
2025-08-22,Cardamom,3162.14,42.89,88.22,84.02,1
2025-08-23,Cardamom,3164.85,18.69,90.18,84.01,1
2025-08-24,Cardamom,3160.25,14.66,87.26,83.97,1
2025-08-25,Cardamom,3156.18,12.55,83.73,83.99,1
2025-08-26,Cardamom,3163.39,14.03,86.26,83.96,1
2025-08-27,Cardamom,3167.58,27.55,84.77,84.0,1
2025-08-28,Cardamom,3159.06,15.18,85.99,84.01,1
2025-08-29,Cardamom,3160.51,25.35,88.88,83.98,1
2025-08-30,Cardamom,3156.31,13.13,91.56,83.95,1
2025-08-31,Cardamom,3165.21,19.66,95.47,83.95,1
2025-09-01,Cardamom,3161.33,14.56,93.63,83.91,1
2025-09-02,Cardamom,3153.47,44.54,98.49,83.88,1
2025-09-03,Cardamom,3162.37,10.84,100.0,83.93,1
2025-09-04,Cardamom,3160.51,35.22,96.04,83.9,1
2025-09-05,Cardamom,3168.9,39.73,94.48,83.89,1
2025-09-06,Cardamom,3168.3,15.43,91.98,83.91,1
2025-09-07,Cardamom,3170.22,34.05,93.88,83.93,1
2025-09-08,Cardamom,3167.7,29.19,94.65,83.88,1
2025-09-09,Cardamom,3177.21,49.63,91.93,83.85,1
2025-09-10,Cardamom,3187.38,33.69,92.25,83.89,1
2025-09-11,Cardamom,3184.26,36.65,87.41,83.88,1
2025-09-12,Cardamom,3181.77,13.59,85.12,83.87,1
2025-09-13,Cardamom,3185.43,26.21,87.89,83.91,1
2025-09-14,Cardamom,3190.48,40.3,84.75,83.88,1
2025-09-15,Cardamom,3186.27,12.52,85.59,83.9,1
2025-09-16,Cardamom,3179.02,48.64,86.06,83.93,1
2025-09-17,Cardamom,3169.07,39.03,83.82,83.97,1
2025-09-18,Cardamom,3174.63,28.84,78.85,83.97,1
2025-09-19,Cardamom,3178.94,31.75,83.59,84.02,1
2025-09-20,Cardamom,3183.87,14.6,83.58,83.98,1
2025-09-21,Cardamom,,24.62,81.97,84.02,1
2025-09-22,Cardamom,3168.87,18.82,81.17,83.99,1
2025-09-23,Cardamom,3162.56,11.42,85.82,84.03,1
2025-09-24,Cardamom,3166.04,44.8,90.39,84.04,1
2025-09-25,Cardamom,3174.54,16.86,93.42,84.02,1
2025-09-26,Cardamom,3180.04,30.56,91.53,84.06,1
2025-09-27,Cardamom,3177.39,20.31,89.52,84.03,1
2025-09-28,Cardamom,3180.49,48.97,92.84,83.98,1
2025-09-29,Cardamom,3179.3,13.67,97.01,84.0,1
2025-09-30,Cardamom,3179.92,44.14,97.42,84.04,1
2025-10-01,Cardamom,3174.12,1.44,97.72,84.09,1
2025-10-02,Cardamom,3179.0,3.13,97.46,84.05,1
2025-10-03,Cardamom,3186.57,1.67,96.5,84.09,1
2025-10-04,Cardamom,3192.41,1.62,92.88,84.07,1
2025-10-05,Cardamom,3196.19,3.73,92.17,84.1,1
2025-10-06,Cardamom,3206.67,1.52,96.01,84.09,1
2025-10-07,Cardamom,3204.13,4.27,92.16,84.08,1
2025-10-08,Cardamom,3195.87,3.49,90.53,84.03,1
2025-10-09,Cardamom,3190.23,3.87,89.82,84.06,1
2025-10-10,Cardamom,3195.94,0.52,92.04,84.1,1
2025-10-11,Cardamom,3193.94,1.33,92.41,84.1,1
2025-10-12,Cardamom,3191.56,2.1,91.88,84.14,1
2025-10-13,Cardamom,3182.94,3.99,88.68,84.1,1
2025-10-14,Cardamom,3178.68,1.08,88.92,84.13,1
2025-10-15,Cardamom,3180.87,4.64,93.46,84.18,1
2025-10-16,Cardamom,3171.56,1.03,88.93,84.21,1
2025-10-17,Cardamom,3180.78,4.15,91.95,84.22,1
2025-10-18,Cardamom,3171.33,1.72,87.68,84.2,1
2025-10-19,Cardamom,3164.77,0.14,83.42,84.21,1
2025-10-20,Cardamom,3158.75,2.02,86.17,84.19,1
2025-10-21,Cardamom,3156.83,3.88,84.95,84.22,1
2025-10-22,Cardamom,3146.87,4.27,84.14,84.19,1
2025-10-23,Cardamom,3144.35,4.66,82.22,84.16,1
2025-10-24,Cardamom,3139.71,1.61,77.8,84.21,1
2025-10-25,Cardamom,3132.36,1.0,74.17,84.18,1
2025-10-26,Cardamom,3136.47,0.15,77.32,84.19,1
2025-10-27,Cardamom,3140.69,1.92,80.18,84.17,1
2025-10-28,Cardamom,3137.67,1.08,84.53,84.14,1
2025-10-29,Cardamom,3129.41,0.26,88.93,84.15,1
2025-10-30,Cardamom,3119.29,1.93,87.42,84.13,1
2025-10-31,Cardamom,3108.47,1.01,87.51,84.17,1
2025-11-01,Cardamom,2549.1,1.01,87.51,84.17,1
2025-11-02,Cardamom,2544.73,4.77,91.98,84.21,1
2025-11-03,Cardamom,2544.92,1.7,94.19,84.25,1
2025-11-04,Cardamom,2544.73,3.48,90.16,84.23,1
2025-11-05,Cardamom,2541.21,0.22,87.41,84.25,1
2025-11-06,Cardamom,2547.8,3.32,83.38,84.27,1
2025-11-07,Cardamom,2551.88,0.24,82.09,84.3,1
2025-11-08,Cardamom,2545.12,2.39,84.84,84.27,1
2025-11-09,Cardamom,2546.95,0.7,83.28,84.3,1
2025-11-10,Cardamom,2540.81,0.29,86.47,84.33,1
2025-11-11,Cardamom,2531.13,1.51,87.08,84.28,1
2025-11-12,Cardamom,2538.01,3.53,88.08,84.28,1
2025-11-13,Cardamom,2534.97,4.38,91.01,84.26,1
2025-11-14,Cardamom,2538.82,2.16,86.91,84.21,1
2025-11-15,Cardamom,2543.57,0.1,89.86,84.21,1
2025-11-16,Cardamom,2546.08,4.6,88.34,84.25,1
2025-11-17,Cardamom,2554.57,0.13,92.0,84.25,1
2025-11-18,Cardamom,2551.77,1.52,96.89,84.26,1
2025-11-19,Cardamom,2551.59,0.44,98.36,84.28,1
2025-11-20,Cardamom,2547.57,4.54,94.69,84.23,1
2025-11-21,Cardamom,2553.95,3.87,92.15,84.23,1
2025-11-22,Cardamom,2548.03,0.71,90.01,84.19,1
2025-11-23,Cardamom,2543.73,3.17,90.46,84.22,1
2025-11-24,Cardamom,2535.5,4.05,90.84,84.27,1
2025-11-25,Cardamom,2542.27,1.05,87.72,84.23,1
2025-11-26,Cardamom,2536.34,3.0,85.46,84.2,1
2025-11-27,Cardamom,2532.67,1.29,83.31,84.19,1
2025-11-28,Cardamom,2535.01,4.6,82.6,84.19,1
2025-11-29,Cardamom,2530.39,0.66,86.78,84.18,1
2025-11-30,Cardamom,,1.36,88.29,84.13,1
2025-12-01,Cardamom,2423.89,1.36,88.29,84.13,1
2025-12-02,Cardamom,2401.38,1.36,88.29,84.13,1
2025-12-03,Cardamom,2403.0,0.76,87.64,84.15,1
2025-12-04,Cardamom,2398.27,2.57,84.59,84.13,1
2025-12-05,Cardamom,2401.3,1.52,79.63,84.12,1
2025-12-06,Cardamom,2391.72,0.86,75.49,84.11,1
2025-12-07,Cardamom,,1.74,71.84,84.13,1
2025-12-08,Cardamom,2370.34,4.06,67.87,84.12,1
2025-12-09,Cardamom,2353.93,3.32,66.48,84.13,1
2025-12-10,Cardamom,2345.86,0.59,63.6,84.14,1
2025-12-11,Cardamom,2339.21,1.8,59.03,84.12,1
2025-12-12,Cardamom,2330.97,3.62,60.86,84.09,1
2025-12-13,Cardamom,2317.1,4.04,60.15,84.14,1
2025-12-14,Cardamom,2305.41,2.74,61.79,84.17,1
2025-12-15,Cardamom,2300.78,4.03,58.31,84.13,1
2025-12-16,Cardamom,2286.48,2.47,55.59,84.14,1
2025-12-17,Cardamom,2285.48,1.81,55.65,84.16,1
2025-12-18,Cardamom,2267.98,0.92,51.63,84.12,1
2025-12-19,Cardamom,2248.22,3.05,50.91,84.13,1
2025-12-20,Cardamom,2245.67,4.46,51.58,84.13,1
2025-12-21,Cardamom,,3.58,50.26,84.17,1
2025-12-22,Cardamom,2229.16,0.82,49.69,84.21,1
2025-12-23,Cardamom,2210.89,1.79,45.38,84.22,1
2025-12-24,Cardamom,2198.76,4.09,40.9,84.24,1
2025-12-25,Cardamom,2184.44,1.66,39.23,84.22,1
2025-12-26,Cardamom,2165.3,2.52,36.0,84.24,1
2025-12-27,Cardamom,2144.72,4.32,32.32,84.26,1
2025-12-28,Cardamom,2125.47,3.38,34.7,84.26,1
2025-12-29,Cardamom,2106.44,3.49,32.46,84.28,1
2025-12-30,Cardamom,2096.24,2.3,29.39,84.23,1
2025-12-31,Cardamom,2087.52,1.77,30.79,84.21,1
2026-01-01,Cardamom,2420.31,1.77,30.79,84.21,1
2026-01-02,Cardamom,2355.77,1.77,30.79,84.21,1
2026-01-03,Cardamom,2338.89,0.29,28.09,84.25,1
2026-01-04,Cardamom,,2.59,24.65,84.24,1
2026-01-05,Cardamom,2299.13,4.72,27.04,84.22,1
2026-01-06,Cardamom,2272.06,4.8,26.55,84.24,1
2026-01-07,Cardamom,2250.11,3.17,23.51,84.28,1
2026-01-08,Cardamom,2226.97,1.73,24.05,84.3,1
2026-01-09,Cardamom,2216.03,0.12,24.44,84.3,1
2026-01-10,Cardamom,2196.44,1.04,28.63,84.29,1
2026-01-11,Cardamom,2188.24,2.48,33.4,84.26,1
2026-01-12,Cardamom,2173.3,2.71,34.79,84.24,1
2026-01-13,Cardamom,2165.68,1.83,37.04,84.22,1
2026-01-14,Cardamom,2148.54,2.24,37.47,84.26,1
2026-01-15,Cardamom,2142.49,0.14,41.39,84.26,1
2026-01-16,Cardamom,2127.78,5.0,39.79,84.28,1
2026-01-17,Cardamom,2119.07,1.64,40.0,84.27,1
2026-01-18,Cardamom,2095.95,1.64,42.97,84.23,1
2026-01-19,Cardamom,2083.01,2.09,45.33,84.25,1
2026-01-20,Cardamom,2076.43,0.25,49.14,84.21,1
2026-01-21,Cardamom,2067.46,2.97,50.65,84.21,1
2026-01-22,Cardamom,2057.09,3.2,53.53,84.16,1
2026-01-23,Cardamom,2043.95,3.68,50.52,84.16,1
2026-01-24,Cardamom,2023.03,2.84,50.74,84.13,1
2026-01-25,Cardamom,2011.9,3.4,50.01,84.12,1
2026-01-26,Cardamom,2001.12,2.09,47.06,84.14,1
2026-01-27,Cardamom,1985.75,3.53,42.98,84.18,1
2026-01-28,Cardamom,1968.53,0.9,45.3,84.21,1
2026-01-29,Cardamom,1962.0,2.8,46.35,84.19,1
2026-01-30,Cardamom,1940.85,4.77,42.14,84.21,1
2026-01-31,Cardamom,2495.18,4.77,42.14,84.21,1
2026-02-01,Cardamom,2484.08,4.32,41.44,84.22,1
2026-02-02,Cardamom,2427.27,4.32,41.44,84.22,1
2026-02-03,Cardamom,2436.27,4.32,41.44,84.22,1
2026-02-04,Cardamom,2417.7,0.71,45.95,84.2,1
2026-02-05,Cardamom,2395.01,1.48,44.22,84.22,1
2026-02-06,Cardamom,2383.33,0.92,45.45,84.18,1
2026-02-07,Cardamom,2378.26,4.33,42.11,84.17,1
2026-02-08,Cardamom,,0.31,37.37,84.14,1
2026-02-09,Cardamom,2343.84,2.16,35.1,84.11,1
2026-02-10,Cardamom,2330.69,5.0,30.78,84.15,1
2026-02-11,Cardamom,2303.19,3.91,26.86,84.16,1
2026-02-12,Cardamom,2275.18,0.39,24.12,84.18,1
2026-02-13,Cardamom,2260.85,2.56,19.85,84.16,1
2026-02-14,Cardamom,2232.17,3.77,20.44,84.15,1
2026-02-15,Cardamom,2214.65,4.92,19.65,84.16,1
2026-02-16,Cardamom,2184.92,4.98,19.91,84.21,1
2026-02-17,Cardamom,2171.8,3.18,16.6,84.19,1
2026-02-18,Cardamom,2156.82,3.35,15.1,84.17,1
2026-02-19,Cardamom,2140.7,4.23,18.68,84.15,1
2026-02-20,Cardamom,2121.5,2.97,17.8,84.16,1
2026-02-21,Cardamom,2095.62,3.97,18.9,84.16,1
2026-02-22,Cardamom,2078.32,4.47,16.13,84.13,1
2026-02-23,Cardamom,2450.96,4.47,16.13,84.13,1
2026-02-24,Cardamom,2379.79,4.47,16.13,84.13,1
2026-02-25,Cardamom,2420.25,4.47,16.13,84.13,1
2026-02-26,Cardamom,2419.25,4.47,16.13,84.13,1
2026-02-27,Cardamom,2403.9,3.99,16.4,84.11,1
2026-02-28,Cardamom,2384.9,1.5,18.14,84.16,1
2026-03-01,Cardamom,2366.31,0.44,20.88,84.12,0
2026-03-02,Cardamom,2349.9,2.55,16.65,84.16,0
2026-03-03,Cardamom,2327.48,2.92,19.99,84.13,0
2026-03-04,Cardamom,2316.65,0.24,22.21,84.15,0
2026-03-05,Cardamom,2303.95,3.15,22.23,84.14,0
2026-03-06,Cardamom,2293.44,3.64,20.75,84.18,0
2026-03-07,Cardamom,2277.94,3.48,25.19,84.22,0
2026-03-08,Cardamom,2271.38,0.0,22.17,84.24,0
2026-03-09,Cardamom,2247.36,1.48,17.35,84.28,0
2026-03-10,Cardamom,2237.87,3.41,17.45,84.28,0
2026-03-11,Cardamom,2220.78,4.9,21.12,84.31,0
2026-03-12,Cardamom,2199.14,0.14,20.48,84.34,0
2026-03-13,Cardamom,2176.37,0.71,18.9,84.36,0
2026-03-14,Cardamom,2169.89,4.98,14.13,84.35,0
2026-03-15,Cardamom,2161.36,0.11,16.06,84.38,0
2026-03-16,Cardamom,2142.83,4.76,20.7,84.4,0
2026-03-17,Cardamom,2130.88,2.2,21.14,84.38,0
2026-03-18,Cardamom,2117.03,0.87,19.93,84.42,0
